aircraft_id,timestamp,latitude,longitude,altitude,velocity,heading
a1b2c3,0.0,40.049882,-83.101078,10500.0,220.0,90.0
b2d4e6,0.0,39.900457,-82.950172,4500.0,180.0,20.0
a1b2c3,2.0,40.049699,-83.094527,10500.0,220.0,90.0
c3f5a7,2.0,40.150327,-82.700595,3000.0,150.0,225.0
b2d4e6,3.0,39.904862,-82.948233,4524.0,180.0,20.0
a1b2c3,4.0,40.049963,-83.089145,10500.0,220.0,90.0
a1b2c3,6.0,40.050695,-83.084882,10500.0,220.0,90.0
b2d4e6,6.0,39.908983,-82.946239,4548.0,180.0,20.0
c3f5a7,7.0,40.144939,-82.706651,3000.0,150.0,225.0
a1b2c3,8.0,40.050473,-83.079189,10500.0,220.0,90.0
b2d4e6,9.0,39.912953,-82.94252,4572.0,180.0,20.0
a1b2c3,10.0,40.050258,-83.074127,10500.0,220.0,90.0
a1b2c3,12.0,40.050327,-83.068842,10500.0,220.0,90.0
b2d4e6,12.0,39.918007,-82.940962,4596.0,180.0,20.0
c3f5a7,12.0,40.14031,-82.712473,3000.0,150.0,225.0
a1b2c3,14.0,40.050121,-83.063268,10500.0,220.0,90.0
b2d4e6,15.0,39.922696,-82.938485,4620.0,180.0,20.0
a1b2c3,16.0,40.049538,-83.059139,10500.0,220.0,90.0
c3f5a7,17.0,40.135291,-82.718674,3000.0,150.0,225.0
a1b2c3,18.0,40.049764,-83.053158,10500.0,220.0,90.0
b2d4e6,18.0,39.927605,-82.93614,4644.0,180.0,20.0
a1b2c3,20.0,40.050393,-83.048407,10500.0,220.0,90.0
b2d4e6,21.0,39.931838,-82.935155,4668.0,180.0,20.0
a1b2c3,22.0,40.05002,-83.042125,10500.0,220.0,90.0
c3f5a7,22.0,40.130472,-82.725637,3000.0,150.0,225.0
a1b2c3,24.0,40.050463,-83.03799,10500.0,220.0,90.0
b2d4e6,24.0,39.937057,-82.932902,4692.0,180.0,20.0
a1b2c3,26.0,40.049266,-83.032518,10500.0,220.0,90.0
b2d4e6,27.0,39.941292,-82.930385,4716.0,180.0,20.0
c3f5a7,27.0,40.126466,-82.730585,3000.0,150.0,225.0
a1b2c3,28.0,40.049703,-83.027927,10500.0,220.0,90.0
a1b2c3,30.0,40.050294,-83.022932,10500.0,220.0,90.0
b2d4e6,30.0,39.945715,-82.928142,4740.0,180.0,20.0
a1b2c3,32.0,40.049695,-83.017359,10500.0,220.0,90.0
c3f5a7,32.0,40.121483,-82.736976,3000.0,150.0,225.0
b2d4e6,33.0,39.950127,-82.926246,4764.0,180.0,20.0
a1b2c3,34.0,40.049889,-83.01356,10500.0,220.0,90.0
a1b2c3,36.0,40.049413,-83.007257,10500.0,220.0,90.0
b2d4e6,36.0,39.955105,-82.925116,4788.0,180.0,20.0
c3f5a7,37.0,40.115631,-82.743652,3000.0,150.0,225.0
a1b2c3,38.0,40.050028,-83.002257,10500.0,220.0,90.0
b2d4e6,39.0,39.959765,-82.920798,4812.0,180.0,20.0
a1b2c3,40.0,40.049216,-82.995929,10500.0,220.0,90.0
a1b2c3,42.0,40.049887,-82.99197,10500.0,220.0,90.0
c3f5a7,42.0,40.11141,-82.749369,3000.0,150.0,225.0
a1b2c3,44.0,40.050073,-82.98662,10500.0,220.0,90.0
a1b2c3,46.0,40.050252,-82.981115,10500.0,220.0,90.0
c3f5a7,47.0,40.106534,-82.75513,3000.0,150.0,225.0
a1b2c3,48.0,40.049972,-82.975574,10500.0,220.0,90.0
a1b2c3,50.0,40.050064,-82.970285,10500.0,220.0,90.0
a1b2c3,52.0,40.050028,-82.965923,10500.0,220.0,90.0
c3f5a7,52.0,40.10301,-82.761744,3000.0,150.0,225.0
a1b2c3,54.0,40.05058,-82.959965,10500.0,220.0,90.0
a1b2c3,56.0,40.049572,-82.955492,10500.0,220.0,90.0
c3f5a7,57.0,40.097463,-82.768815,3000.0,150.0,225.0
a1b2c3,58.0,40.050062,-82.949597,10500.0,220.0,90.0
a1b2c3,60.0,40.050364,-82.944518,10500.0,220.0,90.0
a1b2c3,62.0,40.050006,-82.940096,10500.0,220.0,93.0
c3f5a7,62.0,40.092702,-82.77482,3000.0,150.0,225.0
a1b2c3,64.0,40.050083,-82.934763,10500.0,220.0,96.0
a1b2c3,66.0,40.049362,-82.929382,10500.0,220.0,99.0
c3f5a7,67.0,40.088293,-82.780387,3000.0,150.0,225.0
a1b2c3,68.0,40.048404,-82.924308,10500.0,220.0,102.0
a1b2c3,70.0,40.04802,-82.919212,10500.0,220.0,105.0
a1b2c3,72.0,40.046918,-82.914664,10500.0,220.0,108.0
c3f5a7,72.0,40.083515,-82.787965,3000.0,150.0,225.0
a1b2c3,74.0,40.045874,-82.909354,10500.0,220.0,111.0
a1b2c3,76.0,40.044496,-82.904316,10500.0,220.0,114.0
c3f5a7,77.0,40.078392,-82.794359,3000.0,150.0,225.0
a1b2c3,78.0,40.042832,-82.900323,10500.0,220.0,117.0
a1b2c3,80.0,40.040993,-82.895496,10500.0,220.0,120.0
a1b2c3,82.0,40.038138,-82.890393,10500.0,220.0,123.0
c3f5a7,82.0,40.074184,-82.800433,3000.0,150.0,225.0
a1b2c3,84.0,40.037,-82.88632,10500.0,220.0,126.0
a1b2c3,86.0,40.034758,-82.882745,10500.0,220.0,129.0
c3f5a7,87.0,40.06855,-82.805455,3000.0,150.0,225.0
a1b2c3,88.0,40.031328,-82.878091,10500.0,220.0,132.0
a1b2c3,90.0,40.029163,-82.874667,10500.0,220.0,135.0
