aircraft_id,timestamp,latitude,longitude,altitude,velocity,heading
a87876,1783103267.5,39.844757,-84.205667,8084.8,249.1,33.9
a412e2,1783103260.0,39.465883,-84.089007,929.6,881.2,97.0
~28eaaa,1783103266.7,39.464172,-84.087922,883.9,20.6,148.3
a2b691,1783103267.4,40.455917,-83.967041,8839.2,242.7,58.0
a1ba59,1783103267.1,39.564514,-83.949877,4823.5,183.1,226.9
a9fc34,1783103267.5,40.390320,-83.885620,9448.8,234.1,59.5
a03b67,1783103267.2,40.082873,-83.856707,8976.4,242.8,180.5
a081f4,1783103267.4,39.647873,-83.691280,1950.7,54.3,221.5
a96b65,1783103267.4,40.057363,-83.586856,7978.1,234.2,40.7
acb16b,1783103267.2,40.698154,-83.442848,13708.4,235.1,89.6
a21bf6,1783103227.7,39.968582,-83.387451,518.2,49.7,62.9
a17b16,1783103267.5,40.501511,-83.383728,11277.6,235.5,49.9
aac2a4,1783103267.1,40.289017,-83.194702,975.4,36.3,290.8
a709e8,1783103266.6,39.760483,-83.082255,853.4,47.8,172.0
a5f6ef,1783103267.4,40.221817,-83.012146,670.6,37.2,264.4
a03273,1783103267.4,40.287964,-82.981018,14325.6,228.3,236.0
aadcf7,1783103247.2,40.637924,-82.920959,823.0,41.3,166.3
440d41,1783103267.1,39.286880,-82.913997,13106.4,231.8,167.0
aaa929,1783103267.4,40.934034,-82.910323,11887.2,232.9,52.5
ab5db8,1783103267.5,39.587604,-82.870911,11582.4,236.0,310.7
a5ee51,1783103267.5,39.987808,-82.807190,495.3,72.2,274.1
a70362,1783103267.4,40.006062,-82.803581,396.2,17.3,210.4
a1dfe8,1783103267.3,40.319504,-82.789551,2385.1,74.6,47.0
a24526,1783103267.2,40.848816,-82.643311,10050.8,239.3,82.3
a4795a,1783103267.2,40.752667,-82.414065,9144.0,234.8,342.4
a825a6,1783103267.2,40.515856,-82.366687,6659.9,204.4,205.0
a32800,1783103267.5,39.236367,-82.299988,4579.6,184.1,351.6
aa79f6,1783103267.4,40.047272,-81.921875,9997.4,252.9,352.2
a3f133,1783103267.5,39.682617,-81.871460,10081.3,254.3,2.4
a46ed7,1783103260.7,39.924362,-81.728333,2232.7,91.8,63.0
a87876,1783103277.2,39.863068,-84.189845,8183.9,250.1,33.6
~28eaaa,1783103275.8,39.463120,-84.090729,914.4,16.6,253.8
a1ba59,1783103277.5,39.552750,-83.966356,4747.3,184.2,227.5
a2b691,1783103277.3,40.467302,-83.943225,8839.2,242.7,58.0
a9fc34,1783103277.5,40.401077,-83.861755,9448.8,234.1,59.5
a03b67,1783103277.5,40.060501,-83.856995,9029.7,242.3,180.5
a081f4,1783103277.1,39.644025,-83.695496,1950.7,57.1,219.1
a96b65,1783103277.5,40.073685,-83.568542,7917.2,232.7,40.7
acb16b,1783103277.4,40.698257,-83.414307,13708.4,235.1,89.6
a17b16,1783103277.2,40.514785,-83.363072,11277.6,235.5,49.9
aac2a4,1783103277.2,40.290170,-83.198776,990.6,37.8,289.9
a709e8,1783103275.6,39.756635,-83.081665,845.8,48.0,175.1
a5f6ef,1783103277.3,40.221405,-83.016418,701.0,36.8,262.8
a03273,1783103277.4,40.276624,-83.003020,14325.6,228.3,236.0
aadcf7,1783103276.9,40.627581,-82.915941,754.4,41.9,156.9
440d41,1783103277.5,39.265778,-82.907788,13106.4,231.2,167.0
ab5db8,1783103277.5,39.601227,-82.891368,11582.4,236.0,310.7
aaa929,1783103277.3,40.946548,-82.888855,11887.2,232.9,52.5
a5ee51,1783103277.3,39.988266,-82.815430,442.0,72.2,274.5
